제목,장르,상영시간,개봉일,인기도,평균 평점,평점 수,제작비,수익,제작사,원어,시놉시스,키워드
올 더 킹즈 맨,"['드라마', '스릴러']",125.0,2006-09-10,1.2771,5.8,309.0,55000000.0,9450897.0,['Relativity Media'],en,"간절히 원했던 것이 욕망이 되고, 결국 그것이 파멸을 부른다!  믿음직스러운 그대의 이름은, 윌리 스탁 미국 메이슨 시티의 곧고 신념 강한 재정관인 윌리 스탁. 윌리 스탁은 학교 건설 입찰 비리를 고발하여 유명세를 얻게 된다. 그 유명세를 이용하려던 사람들로 인해 자극받은 윌리 스탁은 스스로 루지애나 주지사 선거에 나가 힘있고 부패한 자들을 처단하고자 결심한다.  하지만 윌리 스탁 역시 권력의 유혹에 빠져드는데… 윌리 스탁은 거침없는 언변과 관중을 집중시키는 카리스마로 많은 사람들의 지지를 받게 되었고 마침내 주지사로 당선된다. 하지만 시민들을 위한 공약을 지키기 위해서는 기득권층의 세금을 크게 올려야 했고 이 때문에 그는 권력층과 부유층에 대립할 수밖에 없게 된다. 결국 기득권층의 사람들은 그를 탄핵하기로 결정한다. 윌리 스탁은 자신의 자리를 지키기 위해 점점 그들처럼 비열해지는데…","['journalist', 'governor', 'corruption', 'based on novel or book', 'politics', 'blackmail', 'bodyguard', 'manipulation', 'louisiana', 'scandal', 'tragedy', 'mistress', 'aristocrat']"
데이 워치,"['판타지', '액션', '모험', '공포', '스릴러']",145.0,2006-01-01,1.5599,6.157,546.0,4200000.0,42918532.0,['Bazelevs Production'],ru,"데이 워치는 오랫동안 비밀스럽게 존재하며 인류를 지켜온 두 종족, 나이트워치와 데이워치의 전쟁을 다룬다. 나이트워치는 어둠의 세력인 뱀파이어나 마녀 종족을 감시하는 빛의 기동대고, 데이워치는 빛의 세력인 천사나 마법사를 감시하는 어둠의 기동대. 둘은 ‘상대방에게 단 한 방울이라도 피를 흘리게 하면 안 된다’는 평화협정을 통해 아슬아슬한 균형상태를 유지하고 있다. 하지만 에서부터 슬며시 균열 조짐이 보이던 두 종족의 협정은 에서 마침내 무너질 위기에 처한다.  전작에서 아내의 불륜에 분노한 나머지 계약을 통해 나이트워치가 된 주인공 안톤(콘스탄틴 카벤스키)역시 에서 조금 복잡한 상황에 빠져든다. 그는 세상을 멸망시킬 만큼 거대한 힘을 지녔으나 성격은 제멋대로인 나이트워치 스베틀라나(마리아 포로시나)와 사랑에 빠져 있으나, 정작 혈연으로 맺어진 아들 이고르는 반대편인 데이워치에 속해 있다. 게다가 안톤은 스베틀라나가 언젠가는 아들 이고르를 죽이고야 말 것이라는 사실도 잘 알고 있다. 안톤이 종족의 의무와 진득한 혈연 사이에서 갈등을 겪는 사이에 데이워치들이 지속적으로 살해당하는 사건이 벌어진다. 빛과 어둠 사이에 오랫동안 지속되어온 평화협정이 마침내 종말에 도달한 것이다. 계속되는 위기에서 우위를 점하기 위해 데이워치들은 안톤을 범인으로 몰아가고, 빛과 어둠의 협정에 의거해 숙청될 위기에 처한 안톤은 모두의 공멸을 막기 위해 세상의 운명을 바꿀 수 있다는 ‘전설의 분필’을 찾아나선다.","['darkness', 'vampire', 'light', 'battle for power', 'market', 'moscow, russia']"
Church Ball,['코미디'],91.0,2006-03-17,1.0535,3.5,6.0,1000000.0,464991.0,['Halestorm Entertainment'],en,,"['sports', 'basketball', 'coach', 'tournament', 'church', 'mormon']"
알라트리스테,['액션'],145.0,2006-09-01,1.0385,5.806,232.0,24000000.0,23321954.0,['Estudios Picasso'],es,서서히 몰락하기 시작한 17세기 스페인을 배경으로 군인 디에고 알라트리스테의 이야기를 그린 시대극.,['17th century']
리벤지 45,"['드라마', '범죄', '스릴러']",101.0,2006-11-30,1.0415,5.146,181.0,5000000.0,171339.0,['Media Talent Group'],en,"‘캣(Kat)’은 ‘빅 알(Big Al)’에 대해 이야기한다. 이름처럼 엄청난 남자인 ‘빅 알’은 결국 잠자리에서 끝내주는 자신의 남자친구이다. 다른 사람들은 ‘캣’에 대해 이야기한다. 시한폭탄 같은 무서운 아이, 하지만 매혹적인 외모를 지닌 미워할 수 없는 악녀이다.  캣과 알은 불법으로 총기를 판매하며 살고 있다. 캣의 레즈비언 친구 빅(Vic)은 알의 폭력성과 암울한 미래를 걱정하며 캣에게서 알을 떼어내려고 한다. 알의 동료이자 캣의 또 다른 남자친구 라일리(Reilly)도 캣을 도와주려 한다. 그러던 어느날 캣이 총기를 판매한 호세와 술집에서 마주치는 모습을 본 알이 캣에게 한눈 팔았다며 극심한 폭행을 가한다. 만신창이가 된 캣에게 빅과 라일리는 고소를 하거나 제거하라고 충고한다. 캣은 변호사 리즈(Liz)를 만나 대화하면서 알을 떠날 방법을 모색하기 시작하는데…","['new york city', 'obsession', 'addiction', 'control', 'revenge', 'trust']"
더 리턴,"['공포', '드라마', '스릴러']",85.0,2006-11-10,1.079,6.046,633.0,15000000.0,11992014.0,['Rogue Pictures'],en,"능력있는 세일즈 우먼 조안나.그녀는 어렸을적 교통사고로 인한 정신적 휴유증으로 자해를 하게 되고 아빠와의 관계도 멀어지면서 고향을 떠나 일에 파묻혀 떠돌아다닌다. 그 교통사고의 현장에서 살해당한 한 여인의 죽음이 자신에게 전이되며 그 여인을 죽인 살인자의 환영이 자신에게만 나타나는 기이한 경험을 하게 된다. 성인이 된 조안나는 회사일로 고향을 다시 찾게 되고, 정신적 혼란에 시달리던 그녀는 자신의 어릴적 과거를 찾아 나선다. 살인사건의 단서가 되는 환영이 보이고, 조안나는 자신의 의지와 상관없이 자해를 시도한다. 조안나는 피살된 여인과 자신의 유년시절이 거짓말처럼 일치됨을 알게 되면서 전율하게 되고, 자신을 괴롭혔던 악몽의 의문점이 퍼즐을 맞춰 나가듯 조금씩 살인사건의 실체가 드러나게 된다. 과거와 현실을 넘나드는 혼돈 속에서 마침내 살인범을 찾아낸 조안나는 자신을 옥죄어오는 살인자의 위협에 맞서게 되는데......","['nightmare', 'wound', 'stalker', 'murder']"
Madonna: The Confessions Tour,['음악'],122.0,2006-11-22,1.1304,8.382,51.0,1000000.0,10000000.0,['Warner Music Entertainment'],en,,"['concert', 'live performance']"
카핑 베토벤,['드라마'],104.0,2006-09-10,1.1273,6.4,171.0,11000000.0,6191746.0,['Sidney Kimmel Entertainment'],en,"18세기 음악의 도시 비엔나… 음악으로 신을 뛰어 넘고자 하는 욕망과는 달리 청각을 잃어가면서 자괴감에 빠져 성격은 날로 괴팍해지고 고독에서 헤어 나오지 못하는 악성 베토벤 (에드 해리스).  자신의 마지막 교향곡인 ‘9번 교향곡’의 초연을 앞두고 있던 베토벤은 자신이 그린 악보를 연주용으로 카피하기 위한 유능한 카피스트를 찾던 중 우연히 음대 우등생인 안나 홀츠(다이앤 크루거)를 추천 받는다. 단지 여성이란 이유로 카피스트 ‘안나 홀츠’ 와의 만남이 달갑지 않던 그였지만 첫 날 베토벤이 잘못 표기한 음을 간파하고, 스스로가 고쳐 그려놓은 것을 보고 그녀의 천재성을 인정하지 않을 수 없게 된다. 신의 소리를 연주하는 천재 베토벤의 음악을 가슴 깊이 이해하는 안나와 조금씩 마음을 문을 열게 되면서 이제 둘 사이에는 그 누구도 이해하지 못했던 음악적 교감뿐만 아니라, 사랑 그 이상의 영혼을 교감해 나간다. ‘9번 교향곡’ 작곡 역시 점점 더 활력을 띄며 드디어 모든 작곡이 마무리 되고, 초연의 날이 다가온다. 그러나 청력상실로 오케스트라의 연주를 들을 수 없는 베토벤이 돌연 초연의 지휘를 직접 하겠다고 나서며 뜻밖의 위기가 찾아오는데…","['composer', 'classical music', 'woman director', 'fictional biography', '19th century']"
Les Aristos,['코미디'],79.0,2006-09-20,1.0371,4.4,58.0,10107727.0,6073724.0,['TFM Distribution'],fr,,"['france', 'culture clash', 'castle', 'family clan', 'marriage of convenience', 'tax collector', 'shattered home', 'woman director', 'aristocracy', '2000s']"
고야의 유령,"['드라마', '역사']",114.0,2006-11-08,1.0469,6.606,493.0,50000000.0,9448082.0,['Xuxa Producciones S.L.'],en,"궁중화가 고야의 아름다운 모델이자 영원한 뮤즈 이네스는 부당한 누명을 쓰고 종교재판소에 갇히게 된다. 이네스의 아버지인 부유한 상인 토마스는 딸을 구하기 위해 성당 재건 비용 기부 등 백방으로 노력한다. 이를 구실로 고야와 로렌조 신부를 집에 초대한다.  이네스가 부당한 심문에 자백 한 사실을 듣게 되고, 토마스는 어이없는 강변을 늘어놓는 로렌조를 심문한다. 로렌조에게 종교재판소를 모독하는 강제 고백의 고해문서를 받아낸 그는 심문의 고통은 이성을 마비시키고 허위고백을 할 수 있다는 것을 증명하려 한다.","['rape', 'religion and supernatural', 'heresy', 'napoleon bonaparte', 'loss', 'unwillingly pregnant', 'muse', '18th century', 'fictional biography', 'spanish inquisition', 'fictionalized history']"
