제목,장르,상영시간,개봉일,인기도,평균 평점,평점 수,제작비,수익,제작사,원어,시놉시스,키워드
Волкодав из рода Серых Псов,"['판타지', '모험', '액션']",136.0,2006-12-28,1.2013,5.572,83.0,20000000.0,21573338.0,['Central Partnership'],ru,,"['hero', 'based on novel or book', 'magic', 'sword', 'bravery', 'tribe', 'sword fight', 'revenge']"
Waltzing Anna,"['드라마', '코미디']",108.0,2006-08-11,0.908,6.0,1.0,1000000.0,11455.0,[],en,,[]
Bhagam Bhag,"['코미디', '스릴러', '로맨스']",157.0,2006-12-22,1.0467,6.5,81.0,7111000.0,15071000.0,['Shree Ashtavinayak Cine Vision'],hi,,['bollywood']
Push,['드라마'],105.0,2006-06-01,0.9838,4.0,10.0,1100000.0,590000.0,[],en,,[]
론리 하츠,"['드라마', '스릴러', '범죄', '로맨스']",108.0,2006-04-30,1.3928,6.0,348.0,18000000.0,2520000.0,['Millennium Media'],en,1940년대 신문광고를 통해 만난 17명의 여자를 살해한 실존인물인 사이코패스 킬러의 실화를 바탕으로 만든 작품.,"['sibling relationship', 'undercover agent', 'nurse', 'detective', 'eroticism', 'greed', 'observer', 'seduction', 'longing', 'lonely hearts ad', 'femme fatale', 'murder', 'loneliness']"
내 친구 파이도,"['공포', '코미디', '로맨스', '드라마']",92.0,2006-09-07,1.1521,6.433,456.0,8000000.0,426224.0,['Lions Gate Films'],en,"티미 로빈슨의 가장 친한 친구는 썩어가는 꺽다리 좀비 파이도이다. 하지만 파이도가 이웃을 먹어버리자 타미의 엄마와 아빠는 불같이 화를 내고,그런 부모에게서 파이도를 지키기 위해 티미는 파이도를 데리고 지구의 끝까지 가야만 한다.어른을 위한, 한 소년과 개의 가슴 뭉클한 성장이야기","['dark comedy', 'black humor', 'gore', 'satire', 'decapitation', 'spoof', 'zombie', 'suburb', 'canuxploitation']"
Time of Her Life,"['공포', '미스터리', '로맨스', '판타지']",96.0,2006-03-03,0.8663,6.1,10.0,100000.0,75000.0,['Greenway Entertainment'],en,,"['time travel', 'period drama', 'ghost']"
Dabbe,"['공포', '스릴러']",111.0,2006-02-09,1.0146,4.128,39.0,500000.0,2146683.0,['J-Plan'],tr,,"['djinn', 'folk horror', 'dabbe']"
गोलमाल,"['코미디', '가족']",150.0,2006-07-14,1.1658,6.6,123.0,1800000.0,4900000.0,['K Sera Sera Limited'],hi,,"['stupidity', 'dream girl', 'bollywood']"
Enfermés dehors,['코미디'],78.0,2006-04-05,0.8465,6.2,158.0,6515167.0,3666789.0,['Eskwad'],fr,,"['suicide', 'police', 'sex shop']"
Bamako,['드라마'],115.0,2006-06-21,0.7755,6.903,36.0,2000000.0,111000.0,['Louverture Films'],bm,,"['africa', 'colonialism', 'mali']"
퍼,"['드라마', '역사']",122.0,2006-08-30,0.8022,6.1,286.0,16800000.0,2312717.0,['Iron Film'],en,"사진사인 남편을 도우며 살아가던 다이앤은 평온하지만 갑갑한 하루 하루를 보낸다. 거대 모피상인 아버지 덕에 온실 속의 화초처럼 자라나 화려한 상류층 사람들과 어울리지만 그들은 마치 아버지의 모피처럼 생명력 없이 거들먹거리는 부류일 뿐, 다이앤은 왠지 살아가는 일이 답답하기만 하다. 그러던 어느 날, 다이앤이 살고 있는 아파트 윗 층에 신비에 싸인 한 남자가 이사를 온다. 기이한 가면으로 얼굴을 가린 남자 라이오넬에게 아찔한 호기심과 묘한 매력을 느끼게 된 다이앤. 사실 라이오넬은 선천성 다모증으로 인해 전신이 긴 털로 덮여 있는 특별한 사람. 다이앤은 그를 만나기 위해 이웃들의 사진을 찍고 싶다는 핑계로 윗 층을 찾게 되고 차츰 라이오넬과 그의 기이한 친구들과도 가까워 진다. 그녀가 마주친 낯선 사람들과의 관계는 그녀의 삶을 송두리째 바꿔 놓고 다이앤은 한 없이 다정하고 독특하며 예술적인 라이오넬에게 차츰 친구 이상의 감정을 느끼게 된다. 라이오넬 역시 자신을 기이한 괴물이 아닌 특별한 한 남자이자 사람으로 대하는 다이앤을 영혼으로부터 사랑하게 된다.  그러나 그는 선천적인 특이함으로 인한 호흡곤란으로 죽어가고 있었다. 이런 사실을 모르는 다이앤은 마침내 생명력 없이 그녀를 구속하기만 했던 상류 사회와 남편에게 이별을 고하고‘라이오넬과 함께 할 결심을 한다. 또한 라이오넬은 다이앤과의 마지막 여행을 몰래 계획하며 그녀에게 건넬 선물을 준비하는데…","['photographer', 'biography', 'hair', 'werewolf', 'hypertrichosis', 'freak', 'naturism']"
In ascolto,"['스릴러', '범죄', '드라마']",105.0,2006-04-28,0.763,6.426,27.0,2870000.0,362742.0,['EchoFilm'],it,,[]
폴트리가이스트,"['공포', '코미디', '판타지', '음악', 'SF']",103.0,2006-12-26,0.8128,5.882,165.0,500000.0,13804.0,['Troma Entertainment'],en,"착하지만 어딘가 어수룩한 아비는 동네 공동묘지에서 여자친구 웬디와 뜨거운 첫경험을 시도하지만, 흥분한 좀비의 방해로 아무런 성과 없이 끝난다. 1년 후, 하릴없이 시간만 때우던 아비는 열혈 환경운동 레즈비언이 되어 돌아온 웬디와 재회하고 동네에 새로 생긴 프랜차이즈 치킨 가게에 취직한다. 그러나 환경오염으로 변형된 인디언의 혼령이 죽은 닭 안으로 들어가고, 죽은 치킨들의 악몽 같은 공격이 시작된다. 각종 패러디와 악담 그리고 관객의 비위 수준을 시험하는 괴짜 로이드 카우프만의 작품.","['dark comedy', 'musical', 'zombie']"
얼론 위드 허,"['범죄', '드라마', '스릴러']",78.0,2006-04-28,0.8648,5.592,71.0,1000000.0,10018.0,['Pin Hole Productions LLC'],en,,"['obsession', 'stalker', 'hidden camera', 'invasion of privacy', 'found footage', 'voyeurism']"
버블,"['드라마', '범죄', '미스터리']",73.0,2006-01-27,1.0521,6.3,121.0,1600000.0,261966.0,['HDNet Films'],en,"미국 중부 오하이오 주 작은 마을 파커스버그의 인형공장. 마샤는 나이 든 아버지를 모시고 사는 평범한 중년의 여성이다. 그는 직장 동료이자 내성적인 청년 카일과 많은 나이차이에도 불구하고 친하게 지내는 사이다. 어머니와 함께 사는 카일은 좀처럼 다른 사람들에게 마음을 열지 못하는 내성적인 성격. 전혀 어울릴 것 같지 않은 두 사람이지만, 출퇴근 길에 카풀을 하고 점심을 함께 먹으며 우정을 쌓아간다.  그런 그들 사이에 미모의 여성 로즈가 나타난다. 로즈는 인형공장에 새로 들어온 직원으로 어린딸을 혼자 키우고 있는 미혼모. 로즈와 카일은 비슷한 또래로 점점 친해지기 시작하는데 마사는 그런 로즈를 탐탁지 않게 여긴다. 그러던 어느날, 로즈가 그녀의 집에서 싸늘한 시신으로 발견되는데...","['murder', 'doll factory']"
Ουρανία,['코미디'],100.0,2006-12-07,0.8079,5.946,28.0,2137345.0,273318.0,['CL Productions'],el,,"['prostitute', 'grocer', 'greece', 'bicycle', 'moon landing', 'priest', 'masturbation', 'greek military junta']"
모스크바 제로,"['액션', '공포', '드라마']",82.0,2006-11-05,0.8953,3.3,33.0,10000000.0,62500.0,['Sony Pictures'],en,"오웬은 모스코바의 러시아 국회 의사당 아래, 지하묘지로 들어간다. 바로 전설의 괴물을 찾아 모스코바의 지하세계로 떠난 그의 친구이자 고고학자 안드레이를 찾기 위해서이다. 지하세계에 발을 들여놓은 오웬은 지하묘지의 섬뜩한 비밀과 절망에 경악하는데….","['underground', 'priest', 'demon', 'woman director']"
புதுப்பேட்டை,"['액션', '드라마', '범죄']",179.0,2006-05-26,0.7304,7.8,36.0,3400000.0,5000000.0,['Lakshmi Movie Makers'],ta,,"['gangster', 'intense', 'small time criminal entering politics']"
Doogal,"['코미디', '가족', '애니메이션', '모험', '판타지']",77.0,2006-02-24,0.9781,4.981,108.0,20000000.0,27450189.0,['The Weinstein Company'],en,,"['carousel ', 'dog', 'wizard', 'snail', 'absurd']"
Бумер. Фильм второй,"['범죄', '드라마']",115.0,2006-03-07,0.8959,6.0,80.0,5000000.0,13000000.0,['Pygmalion Production'],ru,,[]
The Zombie Diaries,"['공포', '액션', '스릴러']",81.0,2006-10-29,0.8886,4.4,80.0,9300.0,2000000.0,['Off World Films'],en,,"['outbreak', 'zombie', 'lethal virus', 'united kingdom', 'found footage', 'zombie apocalypse']"
누가 전기자동차를 죽였나,['다큐멘터리'],92.0,2006-08-04,0.639,7.247,188.0,1000000.0,1678874.0,['Plinyminor'],en,"90년대 중반 오염이 심해진 캘리포니아주에서는 전기자동차 진흥 법안을 만든다. 이에 따라 GM에서는 EV-1 이라는 양산형 전기자동차를 생산한다. 미래의 석유자원 고갈과 환경오염 문제를 해결하기 위한 획기적인 발명품으로 각광받았던 EV-1을 GM은 무슨 이유에서인지 다시 회수하기 시작했고, 회수한 차를 폐차시켜 버리기 시작한다. 영화는 EV-1의 사례를 중심으로 전기자동차의 숨겨진 비밀을 자동차 제조업체와 석유산업의 로비관계를 통해 밝히고 있다. 그 외에도 전기자동차의 개발에 착수했던 진정한 배경과 의미, 생산이 중단된 이유에 대해서도 많은 자료와 관련 인물들의 인터뷰를 통해 진실을 파헤친다.","['energy supply', 'automobile industry']"
포리너 2 : 암흑의 새벽,['액션'],96.0,2006-02-13,1.0445,4.106,85.0,8000000.0,63709.0,['Andrew Stevens Entertainment'],en,"프라하에서 죽었다고 알려진 정체 불명의 특수 요원 조나단 콜드. 그는 악명 높은 무기 판매 조직의 두목을 탈출 시킨다. 그들 조직은 미국을 공격 하려는 테러리스트에게 핵 무기를 팔아 넘기려 하는데 CIA 는 이 모든 행동을 감시하고 있기 때문. 무기 거래가 성사 되던 중 조나단의 부하 요원이었던 아만다가 잡혀오고 조나단은 치열한 총격전 끝에 아만다와 함께 탈출을 감행한다. 이때 CIA의 내부 조직 중 일부가 아만다의 동료를 살해하고 조나단과 아만다에게도 총격을 가한다. 이제 조나단 콜드와 아만다는 세계의 비밀 정보 조직과 무기 밀매상, 테러리스트들의 살인 표적이 된 채 핵 공격의 대 재앙을 막고자 목숨을 건 사투를 벌이는데...","['martial arts', 'central intelligence agency (cia)', 'chase', 'spy', 'secret agent', 'fistfight', 'nuclear bomb', 'terrorism', 'one man army', 'action hero']"
